Title,URL,Company Name,Award Name,Country
International Travel Awards Gala Ceremony - Zeetravels Ltd  - Testimonial,https://www.youtube.com/watch?v=-Pi0mgjbVTA,Zee travels ltd,International Travel Awards,London(UK)
Chamisse Restaurant - Testimonial,https://www.youtube.com/watch?v=VGsK7Z1e-tk,Chamisse Resturant,International Restaurant Awards,London (UK)
Haitham Galal - Testimonial,https://www.youtube.com/watch?v=3eVNTG0iXls,Haitham Galal,World GM Awards,Dubai (UAE)
Indian Tandoori  Virginia  Ireland  - Testimonial,https://www.youtube.com/watch?v=EAyAkRaRFKw,Indian Tandoori ,International Restaurant Awards,Ireland(Europe)
Laperla Spa - Testimonial,https://www.youtube.com/watch?v=q8VuiGU6EcI,Laperla Spa,International Spa & Beauty Awards,Norway
Millennium Al Rawdah Hotel - Testimonial,https://www.youtube.com/watch?v=7M0PsBow9qU,Millennium Al Rawdah Hotel,International Travel Awards,Abudhabi(UAE)
MOVENPICK AMBASSADOR HOTEL ACCRA - Testimonial,https://www.youtube.com/watch?v=oaRW6a8Md-A,Movenpick Ambassador Hotel ACCRA,International 5 Star Hotel Awards,Ghana(Africa)
Nail Station - Testimonial,https://www.youtube.com/watch?v=PybapLmmGGc,Nail Station,International Spa & Beauty Awards,Kuwait
Nailtek Beauty Salon - Testimonial,https://www.youtube.com/watch?v=Mqh9zA_2Cac,Nailtek Beauty Salon,International Spa & Beauty Awards,
Nidal Saloum - Testimonial,https://www.youtube.com/watch?v=I6kqR_9MJiA,Nidal Saloum,World GM Awards,Abudhabi(UAE)
Park Hotel Briz  - Testimonial,https://www.youtube.com/watch?v=xUlqgONx7Lg,Park Hotel Briz ,International 3 Star Hotel Awards,Bulgaria(Europe)
Ramy Waheed - Testimonial,https://www.youtube.com/watch?v=6plTl6haUtY,Ramy Waheed,World GM Awards,African Tourism Board
Samir Messaoudi - Testimonial,https://www.youtube.com/watch?v=x0w-uPSR_S8,Samir Messaoudi,World GM Awards,Oman
"Somerset Maslak Istanbul, The Ascott Limited - Testimonial",https://www.youtube.com/watch?v=BApn9Ts73Pg,"Somerset Maslak Istanbul, The Ascott Limited",International Travel Awards,Turkey
The Beach Palace Ramsgate - Testimonial,https://www.youtube.com/watch?v=82wlCfJuOpM,The Beach Palace Ramsgate,International Travel Awards,South Africa
Blowdry Bar Qatar - Testimonial,https://www.youtube.com/watch?v=D8IjJ-2MgoA,Blowdry Bar Qatar,International Spa & Beauty Awards,Qatar
Beauty Escape London - Testimonial,https://www.youtube.com/watch?v=ZppZUdCt_kk,Beauty Escape ,International Spa & Beauty Awards,London
Desert Flower Tours - Testimonial,https://www.youtube.com/watch?v=p1k_YBNevNk,Desert Flower Tours,Arabian Best of Best Awards,Oman
Basil Konfor - Testimonial,https://www.youtube.com/watch?v=n9n2ZCAh9hk,Basil Konfor,Arabian Best of Best Awards,Dubai (UAE)
Aji Creative - Testimonial,https://www.youtube.com/watch?v=FVIIfeMsHYA,Aji Creative,Europe Best of Best Awards ,
Deluxe Holiday Homes  - Testimonial,https://www.youtube.com/watch?v=uJ1fCILWYZg,Deluxe Holiday Homes ,International Travel Awards,Dubai (UAE)
S19 Hotel Al Jaddaf - Testimonial,https://www.youtube.com/watch?v=vMM_GOSubRc,S19 Hotel Al Jaddaf,International Travel Awards,Dubai (UAE)
Rustic Pathways - Testimonial,https://www.youtube.com/watch?v=BgFczqP1NIA,Rustic Pathways,International Travel Awards,
Saadiyat Island - Testimonial,https://www.youtube.com/watch?v=JEZj1D9uQGw,Saadiyat Island,International Travel Awards,Abudhabi(UAE)
7Seas Holidays Limited - Testimonial,https://www.youtube.com/watch?v=Qs2DkSm0CPc,7Seas Holidays Limited,International Travel Awards,London (UK)
Amber Holiday Homes - Testimonial,https://www.youtube.com/watch?v=QSEKAvSY3fo,Amber Holiday Homes,International Travel Awards,Dubai (UAE)
The Remote Managers - Testimonial,https://www.youtube.com/watch?v=kyeLfUrFlE8,The Remote Managers,International Travel Awards,
International Travel Awards Gala Ceremony - Top Travel Trip  - Testimonial,https://www.youtube.com/watch?v=jyEKlZpwViI,Top Travel Trip,International Travel Awards , 
World Star Hotel Awards Gala Ceremony -  Malbert Inn - Testimonial,https://www.youtube.com/watch?v=RaX43rrDIpo,Malbert Inn,World  3 Star Hotel Awards ,Ghana(Africa)
"International Travel Awards Gala Ceremony -  Philippines, Department of Tourism - Testimonial",https://www.youtube.com/watch?v=Tpb8MAyV0Bc,Department of Tourism,International Travel Awards ,Philippines
International Spa & Beauty Awards Gala Ceremony - LILLEHAMMER SPA AS -   Testimonial,https://www.youtube.com/watch?v=r73tWfCgFd4,Lillehammer Spa As,International Spa & Beauty Awards ,Lillehammer
International Restaurant Awards Gala Ceremony - Winner Feedback from Chamisse Restaurant,https://www.youtube.com/watch?v=RMpju3qWYuY,Chamisse Resturant,International Restaurant Awards ,London (UK)
World Star Hotel Awards Gala Ceremony - Winner Feedback from Grace Forum,https://www.youtube.com/watch?v=SAOTPlx4Qho,Grace Forum,World Star Hotel Awards ,Armenia
World Star Hotel Awards Gala Ceremony - Winner Feedback from Malbert Inn,https://www.youtube.com/watch?v=6mGoqToirls,Malbert Inn,World Star Hotel Awards ,Ghana(Africa)
World Star Hotel Awards Gala Ceremony - Winner Feedback from MOVENPICK AMBASSADOR HOTEL ACCRA,https://www.youtube.com/watch?v=iymDVkQE1Pc,Movenpick Ambassador Hotel ACCRA,World Star Hotel Awards ,Ghana(Africa)
World Star Hotel Awards Gala Ceremony - Winner Feedback from Park Hotel Briz,https://www.youtube.com/watch?v=2sQGTAURk-w,Park Hotel Briz ,World Star Hotel Awards ,Bulgaria(Europe)
World GM Awards Gala Ceremony - Winner Feedback from Haitham Galal,https://www.youtube.com/watch?v=1vPav9aa9AE,Haitham Galal,World GM Awards ,Dubai (UAE)
World GM Awards Gala Ceremony - Winner Feedback from Mrad El Khoury,https://www.youtube.com/watch?v=1-0YuAYxf0A,Mrad El Khoury,World GM Awards ,
World GM Awards Gala Ceremony - Winner Feedback from Ramy Waheed,https://www.youtube.com/watch?v=PEmT0Eh9eo8,Ramy Waheed,World GM Awards ,
International Spa & Beauty Awards Gala Ceremony - Winner Feedback from Heart & Soul Spa,https://www.youtube.com/watch?v=BB0c42xf28g,Heart & Soul Spa,International Spa & Beauty Awards ,Dubai (UAE)
International Spa & Beauty Awards Gala Ceremony - Winner Feedback from KOYA Spa,https://www.youtube.com/watch?v=Q_HdcxIaklY,Koya Spa,International Spa & Beauty Awards ,
International Spa & Beauty Awards Gala Ceremony - Winner Feedback from Laperla Spa,https://www.youtube.com/watch?v=0U9z0ZyzL5c,Leperla Spa,International Spa & Beauty Awards ,Dubai (UAE)
International Spa & Beauty Awards Gala Ceremony - Winner Feedback from LILLEHAMMER SPA AS,https://www.youtube.com/watch?v=poMZpcNJDPs,Lillehammer Spa As,International Spa & Beauty Awards ,Norway
International Spa & Beauty Awards Gala Ceremony - Winner Feedback from Nail Station,https://www.youtube.com/watch?v=GhMViOhMR3s,Nail Station,International Spa & Beauty Awards ,Kuwait
International Spa & Beauty Awards Gala Ceremony - Winner Feedback from Nails Qatar,https://www.youtube.com/watch?v=MnTdCEQGNZg,Nails,International Spa & Beauty Awards ,Qatar
International Spa & Beauty Awards Gala Ceremony - Winner Feedback from Nailtek Beauty Salon,https://www.youtube.com/watch?v=B1esG35fd64,Nailtek Beauty Salon,International Spa & Beauty Awards ,Kuwait
International Spa & Beauty Awards Gala Ceremony - Winner Feedback from Sohum Spas,https://www.youtube.com/watch?v=-r5TPGDkHtU,Sohum Spas,International Spa & Beauty Awards ,India
International Travel Awards Gala Ceremony - Winner Feedback from Deluxe Holiday Homes,https://www.youtube.com/watch?v=y0IhiBPYdcY,Deluixe Holiday Homes,International Travel Awards ,UAE
"International Travel Awards Gala Ceremony - Winner Feedback from Ferrari World Yas Island, Abu Dhabi",https://www.youtube.com/watch?v=-UlugKjfC3M,Ferrari World Yas island,International Travel Awards ,Abudhabi(UAE)
International Travel Awards Gala Ceremony - Winner Feedback from Grace Lazure,https://www.youtube.com/watch?v=MSaLTWpU-4c,Grace Lazure,International Travel Awards ,
International Travel Awards Gala Ceremony - Winner Feedback from Jewel of Africa Safaris,https://www.youtube.com/watch?v=CvTy5Imt9tI,Jewel of Africa Safaris,International Travel Awards ,
International Travel Awards Gala Ceremony - Winner Feedback from Jolie Ville Luxor Hotel and Spa,https://www.youtube.com/watch?v=ACKmELPe3m4,Jolie Ville Luxor Hotel and Spa,International Travel Awards ,
International Travel Awards Gala Ceremony - Winner Feedback from Millennium Al Rawdah Hotel,https://www.youtube.com/watch?v=_k2jYeJRbf0,Millennium Al Rawdah Hotel,International Travel Awards ,
"International Travel Awards Gala Ceremony - Winner Feedback from Philippines, Department of Tourism",https://www.youtube.com/watch?v=2BiC3XMXeeo,Department of Tourism,International Travel Awards ,Philippines
International Travel Awards Gala Ceremony - Winner Feedback from Rustic Pathways,https://www.youtube.com/watch?v=zjXxYkNVajU,Rustic Pathways,International Travel Awards ,Unitede States
International Travel Awards Gala Ceremony - Winner Feedback from S19 Hotel Al Jaddaf,https://www.youtube.com/watch?v=8YiQW-TknsY,S19 Hotel Al Jaddaf,International Travel Awards ,
International Travel Awards Gala Ceremony - Winner Feedback from Saadiyat Island,https://www.youtube.com/watch?v=pBFkUQHXqlI,Saadiyat Island,International Travel Awards ,
International Travel Awards Gala Ceremony - Winner Feedback from Tang Palace Hotel,https://www.youtube.com/watch?v=UY9llOzQxi8,Tang Palace Hotel,International Travel Awards ,Ghana(Africa)
International Travel Awards Gala Ceremony - Winner Feedback from The Beach Palace Ramsgate,https://www.youtube.com/watch?v=fp_drGnEcaY,The Beach Palace Ramsgate,International Travel Awards ,South Africa
International Travel Awards Gala Ceremony - Winner Feedback from The Remote Managers,https://www.youtube.com/watch?v=B4b9pmqW3HE,The Remote Managers,International Travel Awards ,
International Travel Awards Gala Ceremony - Winner Feedback from Zeetravels Ltd,https://www.youtube.com/watch?v=7dyawDesBzs,Zee travels ltd,International Travel Awards ,London
World GM Awards Gala Ceremony - Winner Feedback from Samir Messaoudi,https://www.youtube.com/watch?v=cLihSIJKOhM,Samir Messaoudi,World GM Awards ,Oman
International Spa & Beauty Awards Gala Ceremony - Winner Feedback from Beauty Escape London,https://www.youtube.com/watch?v=3KYULE9KOVM,Beauty Escape ,International Spa & Beauty Awards ,London
International Travel Awards Gala Ceremony - Winner Feedback from Amber Holiday Homes,https://www.youtube.com/watch?v=Cp6j_3V0URo,Amber Holiday Homes,International Travel Awards ,
International Travel Awards - Gala Ceremony - Winner Feedback from 7Seas Holidays Limited,https://www.youtube.com/watch?v=FB6CqPSdnfE,7 seas holiday hotel,International Travel Awards  ,London
Arabian Best of Best Awards - Gala Ceremony  - AlRedha Insurance Brokers LLC Testimonial,https://www.youtube.com/watch?v=jQILvnhhZ3o,AlRedha Insurance Broker LLC,Arabian Best of Best Awards ,Dubai (UAE)
Arabian Best of Best Awards - Gala Ceremony  - Arabica Orient Tours Testimonial,https://www.youtube.com/watch?v=uap9ioTizJs,Arabica Orient Tours,Arabian Best of Best Awards ,Oman
World CEO Awards - Gala Ceremony  - Ayaan Ali Testimonial,https://www.youtube.com/watch?v=7xtqRoquhOk,Raf Hotel Apartment LLC,World CEO Awards ,Dubai (UAE)
